type,Imppt,NPPT,Icc1,Vmpptmin,VmpptMax,mVn,MVn,NoDC,Pdc,Iac,Pac,Sac,mVac,Mvac,mfac,Mf,thd,fp,ef,minT,maxT,weig,heig,widt,leng,icost,phase,hum,alt,mod,tier
S6-GR1P0.8K-UM,16,1,25,30,500,40,500,1,1200,3.5,800,800,184,264,45,65,3,0.8,96.6,-25,60,2.9,255,265,64,1,1,100,2000,10,IEC-62109;EN-61000
S6-GR1P3.6K-M,19,2,24,80,500,90,550,2,5400,16,3600,3600,187,253,45,65,3,0.8,97.3,-25,60,8.1,373,310,160,1,1,100,4000,10,IEC-62109;EN-61000
S6-GR1P6K-S,19,2,24,80,500,90,550,2,8640,27.3,6000,6000,187,253,45,65,3,0.8,97.7,-25,60,13.2,550,310,180,1,1,100,4000,10,IEC-62109;EN-61000
S6-GR1P10K03-NV-ND,40,3,60,50,500,60,550,3,15000,45.5,10000,10000,187,253,45,65,3,0.8,98,-25,60,23.5,560,335,253,1,1,95,3000,10,IEC-62109;EN-61000
S5-GR3P20K,60,3,90,200,850,160,1000,6,32000,30.4,20000,22000,323,460,45,65,3,0.8,98,-25,60,38,680,500,300,1,3,95,4000,10,IEC-62109;EN-61000
S5-EH1P3K-L,15,2,22.5,90,520,120,600,2,4800,13.7,3000,3300,187,265,45,65,2,0.8,97.1,-25,60,17.9,505,333,249,1,1,95,3000,20,IEC-62109;EN-61000
S6-EH1P10K-L-PLUS,42,2,48,90,435,90,500,4,16000,45.5,10000,10000,187,253,45,65,3,0.8,96.2,-40,60,24,560,335,253,1,1,95,3000,20,IEC-62109;EN-61000
S6-EH3P20K-H,80,4,120,200,850,160,1000,4,32000,30.4,20000,20000,304,460,45,65,3,0.8,97.7,-25,60,35.2,546,563,250,1,3,95,4000,20,IEC-62109;EN-61000
S6-EO1P5K-48,16,1,40,90,430,90,500,2,6500,25,5000,5000,90,280,50,60,3,0.8,96.6,-10,60,13.8,480,340,170,1,1,95,2000,30,IEC-62109;EN-61000
S6-EH3P60K10-LV-YD-H,420,10,600,150,950,180,1000,20,120000,157.5,60000,60000,220,400,45,65,3,0.8,97.6,-25,60,170,814,1174,400,1,3,95,3000,20,IEC-62109;EN-61000
S6-EH3P75K10-NV-YD-H,420,10,600,150,950,180,1000,20,150000,180.4,75000,75000,220,400,45,65,3,0.8,97.6,-25,60,170,814,1174,400,1,3,95,3000,20,IEC-62109;EN-61000
S6-EH1P3K-L-PLUS,16,2,20,90,435,90,500,2,4800,13.7,3000,3300,187,253,45,65,3,0.8,96.2,-40,60,23,560,335,253,1,1,95,3000,20,IEC-62109;EN-61000
S6-EH1P5K-L-PLUS,32,2,40,90,435,90,500,4,8000,22.8,5000,5000,187,253,45,65,3,0.8,96.2,-40,60,23,560,335,253,1,1,95,3000,20,IEC-62109;EN-61000
S6-EH3P10K2-H,40,2,50,200,850,160,1000,2,16000,15.2,10000,10000,323,460,45,65,3,0.8,97.9,-25,60,30.2,500,600,230,1,3,95,4000,20,IEC-62109;EN-61000
S6-EH3P8K2-H,40,2,50,200,850,160,1000,2,12800,12.2,8000,8000,323,460,45,65,3,0.8,97.5,-25,60,30.2,500,600,230,1,3,95,4000,20,IEC-62109;EN-61000
S6-EH3P5K2-H,16,2,24,200,850,160,1000,2,8000,7.6,5000,5000,323,460,45,65,3,0.8,96.5,-25,60,27.6,500,600,210,1,3,95,4000,20,IEC-62109;EN-61000
S6-EO1P4K-48,16,1,40,90,430,90,500,2,5500,20,4000,4000,90,280,50,60,3,0.8,96.6,-10,60,13.8,480,340,170,1,1,95,2000,30,IEC-62109;EN-61000
S6-EO1P5K-48-EU,16,1,40,90,430,90,500,2,6500,25,5000,5000,90,280,50,60,3,0.8,96.6,-10,60,14.1,495,340,170,1,1,95,2000,30,IEC-62109;EN-61000
S6-EA1P3.6K-L,19,1,24,80,500,90,550,1,5400,16.4,3600,3600,187,253,45,65,3,0.8,93.5,-25,60,19.9,465,440,192,1,1,95,4000,20,IEC-62109;EN-61000
S6-EA1P4.6K-L,19,1,24,80,500,90,550,1,6900,21,4600,4600,187,253,45,65,3,0.8,93.5,-25,60,19.9,465,440,192,1,1,95,4000,20,IEC-62109;EN-61000
